n              sin(n)
-- -----------------
 0 0.000000000000000
 1 0.017452406437284
 2 0.034899496702501
 3 0.052335956242944
 4 0.069756473744125
 5 0.087155742747658
 6 0.104528463267653
 7 0.121869343405147
 8 0.139173100960065
 9 0.156434465040231
10 0.173648177666930
11 0.190808995376545
12 0.207911690817759
13 0.224951054343865
14 0.241921895599668
15 0.258819045102521
16 0.275637355816999
17 0.292371704722737
18 0.309016994374947
19 0.325568154457157
20 0.342020143325669
21 0.358367949545300
22 0.374606593415912
23 0.390731128489274
24 0.406736643075800
25 0.422618261740699
26 0.438371146789077
27 0.453990499739547
28 0.469471562785891
29 0.484809620246337
30 0.500000000000000
31 0.515038074910054
32 0.529919264233205
33 0.544639035015027
34 0.559192903470747
35 0.573576436351046
36 0.587785252292473
37 0.601815023152048
38 0.615661475325658
39 0.629320391049837
40 0.642787609686539
41 0.656059028990507
42 0.669130606358858
43 0.681998360062498
44 0.694658370458997
45 0.707106781186547
46 0.719339800338651
47 0.731353701619170
48 0.743144825477394
49 0.754709580222772
50 0.766044443118978
51 0.777145961456971
52 0.788010753606722
53 0.798635510047293
54 0.809016994374947
55 0.819152044288992
56 0.829037572555042
57 0.838670567945424
58 0.848048096156426
59 0.857167300702112
60 0.866025403784439
61 0.874619707139396
62 0.882947592858927
63 0.891006524188368
64 0.898794046299167
65 0.906307787036650
66 0.913545457642601
67 0.920504853452440
68 0.927183854566787
69 0.933580426497202
70 0.939692620785908
71 0.945518575599317
72 0.951056516295154
73 0.956304755963035
74 0.961261695938319
75 0.965925826289068
76 0.970295726275996
77 0.974370064785235
78 0.978147600733806
79 0.981627183447664
80 0.984807753012208
81 0.987688340595138
82 0.990268068741570
83 0.992546151641322
84 0.994521895368273
85 0.996194698091746
86 0.997564050259824
87 0.998629534754574
88 0.999390827019096
89 0.999847695156391
90 1.000000000000000
-- -----------------
