n,Time F1,Time F2,Time F3,Time F4 
0, 0.000006061, 0.000004191, 0.000038459, 0.000039394
1, 0.000004276, 0.000003064, 0.000004143, 0.000017929
2, 0.000004329, 0.000004596, 0.000003703, 0.000003956
3, 0.000004500, 0.000005709, 0.000003087, 0.000003609
4, 0.000004040, 0.000003987, 0.000004407, 0.000004216
5, 0.000004025, 0.000004401, 0.000003113, 0.000003274
6, 0.000004431, 0.000002966, 0.000003081, 0.000003039
7, 0.000004292, 0.000002940, 0.000003037, 0.000003310
8, 0.000004979, 0.000003250, 0.000002946, 0.000003046
9, 0.000005334, 0.000002856, 0.000003057, 0.000003040
10, 0.000006739, 0.000003061, 0.000004064, 0.000003069
11, 0.000006439, 0.000002995, 0.000003030, 0.000003190
12, 0.000005335, 0.000002848, 0.000002675, 0.000002921
13, 0.000006865, 0.000002810, 0.000002674, 0.000002917
14, 0.000009299, 0.000002668, 0.000002658, 0.000002836
15, 0.000011607, 0.000002552, 0.000002594, 0.000002763
16, 0.000017612, 0.000002544, 0.000002568, 0.000002675
17, 0.000026772, 0.000002549, 0.000002563, 0.000002572
18, 0.000041458, 0.000002535, 0.000002550, 0.000002545
19, 0.000065161, 0.000002535, 0.000002865, 0.000002618
20, 0.000104000, 0.000002566, 0.000002564, 0.000002605
21, 0.000166775, 0.000002530, 0.000002573, 0.000002602
22, 0.000267971, 0.000002528, 0.000002546, 0.000002701
23, 0.000432131, 0.000002557, 0.000002596, 0.000002609
24, 0.000717819, 0.000002554, 0.000002537, 0.000002640
25, 0.001126778, 0.000002506, 0.000002555, 0.000002956
26, 0.001878102, 0.000003208, 0.000002860, 0.000003240
27, 0.003264605, 0.000002940, 0.000002676, 0.000003909
28, 0.004965414, 0.000002845, 0.000002998, 0.000003377
29, 0.007992862, 0.000001984, 0.000001752, 0.000006926
30, 0.008818839, 0.000001397, 0.000001370, 0.000002787
31, 0.007804663, 0.000000979, 0.000000901, 0.000001455
32, 0.010433505, 0.000001030, 0.000000739, 0.000001483
33, 0.016123995, 0.000000812, 0.000000717, 0.000001545
34, 0.024116937, 0.000001622, 0.000000800, 0.000003492
35, 0.037533397, 0.000000877, 0.000000701, 0.000001642
36, 0.059304352, 0.000000810, 0.000000677, 0.000002208
37, 0.095828049, 0.000000822, 0.000000693, 0.000001654
38, 0.151256160, 0.000000817, 0.000000691, 0.000001514
39, 0.242971034, 0.000000938, 0.000000689, 0.000001600
40, 0.392117648, 0.000000856, 0.000000751, 0.000001344
41, 0.598836938, 0.000000844, 0.000000644, 0.000001282
42, 0.984034343, 0.000000804, 0.000000657, 0.000001457
43, 1.549493786, 0.000000827, 0.000000648, 0.000001359
44, 2.522697817, 0.000002536, 0.000000676, 0.000004352
45, 4.257915204, 0.000000782, 0.000000634, 0.000001377
46, 7.164226888, 0.000000751, 0.000000639, 0.000001708
47,11.552688046, 0.000000873, 0.000001018, 0.000001610
48,11.552688046, 0.000000634, 0.000000736, 0.000000749
49,11.552688046, 0.000000665, 0.000000735, 0.000000690
50,11.552688046, 0.000000682, 0.000000731, 0.000000683
51,11.552688046, 0.000000655, 0.000000729, 0.000000728
52,11.552688046, 0.000000626, 0.000000725, 0.000000946
53,11.552688046, 0.000000600, 0.000000710, 0.000000774
54,11.552688046, 0.000000660, 0.000000740, 0.000000775
55,11.552688046, 0.000000695, 0.000000737, 0.000000751
56,11.552688046, 0.000000638, 0.000000656, 0.000000651
57,11.552688046, 0.000000629, 0.000000641, 0.000000754
58,11.552688046, 0.000000653, 0.000000729, 0.000000716
59,11.552688046, 0.000000690, 0.000000719, 0.000000697
60,11.552688046, 0.000000726, 0.000000710, 0.000000718
61,11.552688046, 0.000000686, 0.000000667, 0.000000676
62,11.552688046, 0.000000657, 0.000000731, 0.000001031
63,11.552688046, 0.000000643, 0.000000690, 0.000000852
64,11.552688046, 0.000000589, 0.000000613, 0.000000676
65,11.552688046, 0.000000587, 0.000000617, 0.000000594
66,11.552688046, 0.000000583, 0.000000616, 0.000000593
67,11.552688046, 0.000000583, 0.000000620, 0.000000597
68,11.552688046, 0.000000587, 0.000000620, 0.000000686
69,11.552688046, 0.000000672, 0.000000756, 0.000000713
70,11.552688046, 0.000000773, 0.000000707, 0.000000680
71,11.552688046, 0.000000840, 0.000000713, 0.000000693
72,11.552688046, 0.000000693, 0.000000691, 0.000000711
73,11.552688046, 0.000000638, 0.000000658, 0.000000639
